platform,team,event_title,event_date,event_time,venue,city,price_text,price_int,url
VividSeats,Lakers,Los Angeles Lakers at Boston Celtics,Dec 5,7:00pm,TD Garden,"Boston, MA",From $125,125,https://www.vividseats.com/boston-celtics-tickets-td-garden-12-5-2025--sports-nba-basketball/production/5939626
VividSeats,Lakers,Los Angeles Lakers at Philadelphia 76ers,Dec 7,7:30pm,Xfinity Mobile Arena,"Philadelphia, PA",From $55,55,https://www.vividseats.com/philadelphia-76ers-tickets-xfinity-mobile-arena-12-7-2025--sports-nba-basketball/production/5940303
VividSeats,Lakers,NBA Cup Quarterfinals - San Antonio Spurs at Los Angeles Lakers,Dec 10,7:00pm,Crypto.com Arena,"Los Angeles, CA",From $58,58,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-12-11-2025--sports-nba-basketball/production/5936304
VividSeats,Lakers,Los Angeles Lakers at Utah Jazz,Dec 18,7:00pm,Delta Center,"Salt Lake City, UT",From $51,51,https://www.vividseats.com/utah-jazz-tickets-delta-center-12-18-2025--sports-nba-basketball/production/5939998
VividSeats,Lakers,Los Angeles Lakers at LA Clippers,Dec 20,7:30pm,Intuit Dome,"Inglewood, CA",From $193,193,https://www.vividseats.com/la-clippers-tickets-intuit-dome-12-20-2025--sports-nba-basketball/production/5939937
VividSeats,Lakers,Los Angeles Lakers at Phoenix Suns,Dec 23,7:00pm,Mortgage Matchup Center,"Phoenix, AZ",From $114,114,https://www.vividseats.com/phoenix-suns-tickets-phx-arena-12-23-2025--sports-nba-basketball/production/5939875
VividSeats,Lakers,Houston Rockets at Los Angeles Lakers,Dec 25,5:00pm,Crypto.com Arena,"Los Angeles, CA",From $117,117,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-12-25-2025--sports-nba-basketball/production/5924539
VividSeats,Lakers,Sacramento Kings at Los Angeles Lakers,Dec 28,6:30pm,Crypto.com Arena,"Los Angeles, CA",From $89,89,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-12-28-2025--sports-nba-basketball/production/5939719
VividSeats,Lakers,Detroit Pistons at Los Angeles Lakers,Dec 30,7:30pm,Crypto.com Arena,"Los Angeles, CA",From $123,123,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-12-30-2025--sports-nba-basketball/production/5939725
VividSeats,Lakers,Memphis Grizzlies at Los Angeles Lakers,Jan 2,7:30pm,Crypto.com Arena,"Los Angeles, CA",From $101,101,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-1-2-2026--sports-nba-basketball/production/5939736
VividSeats,Lakers,Memphis Grizzlies at Los Angeles Lakers,Jan 4,6:30pm,Crypto.com Arena,"Los Angeles, CA",From $49,49,https://www.vividseats.com/los-angeles-lakers-tickets-cryptocom-arena-1-4-2026--sports-nba-basketball/production/5939746
VividSeats,Lakers,Los Angeles Lakers at New Orleans Pelicans,Jan 6,7:00pm,Smoothie King Center,"New Orleans, LA",From $77,77,https://www.vividseats.com/new-orleans-pelicans-tickets-smoothie-king-center-1-6-2026--sports-nba-basketball/production/5940482
